optimizer,learning rate,batch size,num iteration,duration,train loss,train accuracy,test loss,test accuracy,sharpness,non uniformity,sharpness test,non uniformity test
sgd,0.1,1000,15200,1373,0.0001,100.0,1.46232,82.5,1.0,3.0,0,0
lbfgs,0.025,1000,400,738,0.0,100.0,5.8992900000000015,80.4,0.1,1.4,0,0
adagrad,0.1,1000,19999,1800,0.62154,71.7,3.48067,47.8,34.0,472.0,0,0
sgd,0.075,1000,19600,1768,0.0001,100.0,1.57139,82.2,1.0,4.0,0,0
lbfgs,0.075,1000,400,253,0.0,100.0,11.52254,79.1,0.0,0.2,0,0
adagrad,0.075,1000,19999,1824,0.1021,95.8,3.937980000000002,66.5,27.9,138.0,0,0
sgd,0.05,1000,19999,1889,0.00016,100.0,1.57365,81.8,1.0,7.0,0,0
adagrad,0.1,10,380,413,0.0001,100.0,2.30344,81.1,1.0,5.0,0,0
sgd,0.1,10,168,100,0.0001,100.0,1.7330599999999998,82.7,0.0,1.0,0,0
adagrad,0.025,10,144,155,9e-05,100.0,1.77485,83.2,0.0,3.0,0,0
sgd,0.025,10,484,289,0.0001,100.0,1.59311,82.3,0.0,3.0,0,0
sgd,0.01,50,7260,1213,0.0001,100.0,1.8349099999999998,81.2,2.0,8.4,0,0
adagrad,0.01,50,280,63,9e-05,100.0,1.39096,83.3,0.5,4.1,0,0
adagrad,0.025,50,240,51,9e-05,100.0,1.7375200000000002,83.3,0.5,5.6,0,0
sgd,0.025,50,2780,462,0.0001,100.0,1.6532099999999998,81.7,1.2,5.6,0,0
adagrad,0.075,50,780,159,0.0001,100.0,2.28187,80.7,0.6,5.4,0,0
sgd,0.075,50,840,146,0.0001,100.0,1.4276,82.7,0.5,3.0,0,0
adagrad,0.05,50,380,79,9e-05,100.0,1.8846,81.4,0.5,4.1,0,0
sgd,0.05,50,1320,227,0.0001,100.0,1.57364,82.3,0.7,3.7,0,0
sgd,0.1,50,660,116,0.0001,100.0,1.48563,82.6,0.4,2.6,0,0
adagrad,0.1,50,760,154,0.0001,100.0,2.31123,80.7,2.1,25.2,0,0
adagrad,0.01,100,400,51,9e-05,100.0,1.4240700000000002,83.2,0.4,4.0,0,0
sgd,0.01,100,14600,1453,0.0001,100.0,1.89493,80.9,2.3,9.6,0,0
sgd,0.025,100,5720,574,0.0001,100.0,1.7953700000000001,81.1,1.4,6.6,0,0
adagrad,0.025,100,440,55,8e-05,100.0,1.65642,82.8,0.5,5.0,0,0
adagrad,0.075,100,1400,170,0.0001,100.0,2.41772,79.2,1.3,11.3,0,0
sgd,0.075,100,1840,190,0.0001,100.0,1.52624,82.4,0.6,3.6,0,0
sgd,0.05,100,2800,287,0.0001,100.0,1.60694,82.1,0.9,4.5,0,0
adagrad,0.05,100,520,63,9e-05,100.0,1.95291,81.8,0.6,6.5,0,0
adagrad,0.1,100,1760,210,0.0001,100.0,2.15805,79.3,0.9,8.8,0,0
sgd,0.1,100,1360,142,0.0001,100.0,1.49797,82.2,0.5,3.1,0,0
adagrad,0.01,10,164,133,0.0001,100.0,1.59812,83.0,0.6,6.3,0,0
sgd,0.01,10,1304,637,0.0001,100.0,1.72405,81.4,1.0,5.0,0,0
sgd,0.025,10,472,235,0.0001,100.0,1.61249,82.5,0.5,3.4,0,0
adagrad,0.025,10,160,130,9e-05,100.0,1.89776,82.4,0.3,3.4,0,0
sgd,0.075,10,184,92,0.0001,100.0,1.5423,82.9,0.1,1.1,0,0
adagrad,0.075,10,168,136,9e-05,100.0,1.98701,82.0,0.2,1.8,0,0
adagrad,0.05,10,212,173,0.0001,100.0,1.99308,82.1,0.4,4.1,0,0
sgd,0.05,10,232,116,0.0001,100.0,1.58849,82.8,0.2,1.6,0,0
sgd,0.1,10,144,71,0.0001,100.0,1.51994,83.1,0.1,0.9,0,0
adagrad,0.1,10,416,335,0.0001,100.0,2.35176,80.1,0.4,3.3,0,0
adagrad,0.01,5,178,293,0.0001,100.0,1.58762,83.2,0.5,5.0,0,0
sgd,0.01,5,592,562,0.0001,100.0,1.62742,82.1,0.6,4.0,0,0
adagrad,0.025,5,146,238,0.0001,100.0,1.78857,83.0,0.5,5.1,0,0
sgd,0.025,5,214,204,0.0001,100.0,1.6307200000000002,82.3,0.2,1.7,0,0
sgd,0.075,5,152,142,0.0001,100.0,1.5102200000000001,83.0,0.0,0.5,0,0
adagrad,0.075,5,184,301,0.0001,100.0,2.1019099999999997,81.9,0.3,3.0,0,0
adagrad,0.05,5,138,225,0.0001,100.0,1.96213,82.0,0.4,4.5,0,0
sgd,0.05,5,154,146,0.0001,100.0,1.6185200000000002,83.0,0.1,0.9,0,0
adagrad,0.1,5,302,494,0.0001,100.0,2.40142,80.9,0.3,3.1,0,0
sgd,0.1,5,164,151,9e-05,100.0,1.57179,82.8,0.0,0.3,0,0
lbfgs,0.05,1000,400,272,0.0,100.0,9.577119999999999,79.7,0.0,0.4,0,0
sgd,0.01,1000,19999,1016,0.0020399999999999997,100.0,1.36544,80.7,30.5,133.3,0,0
adagrad,0.01,1000,1600,85,5e-05,100.0,1.64263,82.6,0.4,3.1,0,0
lbfgs,0.1,1000,400,334,0.0,100.0,13.2653,79.4,0.1,0.5,0,0
sgd,0.025,1000,19999,1020,0.00045,100.0,1.51633,80.9,5.3,24.0,0,0
adagrad,0.025,1000,1600,83,4e-05,100.0,2.07194,81.7,0.7,12.5,0,0
sgd,0.075,1000,19600,1029,0.0001,100.0,1.53221,81.9,0.7,3.8,0,0
adagrad,0.075,1000,19999,1048,0.01239,99.7,3.3687699999999996,75.6,8.3,36.0,0,0
lbfgs,0.025,1000,200,379,0.0,100.0,5.73583,80.1,0.0,0.0,0,0
sgd,0.05,1000,19999,1032,0.00016,100.0,1.54949,82.0,1.5,7.3,0,0
lbfgs,0.075,1000,200,198,0.0,100.0,9.94542,79.9,0.0,0.0,0,0
adagrad,0.05,1000,1600,82,5.9999999999999995e-05,100.0,2.17935,81.6,1.0,12.3,0,0
adagrad,0.1,1000,19999,1192,0.06386,98.2,2.84419,69.9,133.1,966.0,0,0
sgd,0.1,1000,14400,756,0.0001,100.0,1.46169,82.5,0.6,3.2,0,0
